ubicacion,telefono,email,direccion,municipio,horario,departamentopais,codigo_postal,latitud,longitud,column10
BOGOTA D.C.,(1)2130279,unicentro.bogota@4-72.com.co,Av. Cra 15 No. 123 - 30 CC. Unicentro Piso 2 Local 2-222,BOGOTA D.C.,De 9:00 a.m. a 7:00 p.m. Jornada Continua,BOGOTA D.C.,110111,-74.04285984,4.701908505,
BOGOTA D.C.,(1)2575649,unilago.bogota@4-72.com.co,Calle 77 No. 16 - 34,BOGOTA D.C.,De 9:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,BOGOTA D.C.,110221,-74.05920202,4.664216017,
BOGOTA D.C.,(1)2704251,Venecia.bogota@4-72.com.co,Auto Sur No. 52C - 43,BOGOTA D.C.,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 5 p.m.,BOGOTA D.C.,,0,0,
BOGOTA D.C.,(1)5488143,fontibon.bogota@4-72.com.co,Calle 17 No 96c - 31,BOGOTA D.C.,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,BOGOTA D.C.,110921,-74.14250674,4.668341143,
BOGOTA D.C.,(1)7557139,pv.avenidasexta@4-72.com.co,Av. 6 No 42 - 09,BOGOTA D.C.,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,BOGOTA D.C.,111611,-74.10615182,4.618615307,
BOGOTA D.C.,(1)5241284,pvcalle118.bogota@4-72.com.co,Calle 118 # 15-15,BOGOTA D.C.,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,BOGOTA D.C.,110111,-74.04321016,4.697370513,
BOGOTA D.C.,(1)2907748,pvsalazargomez.bogota@4-72.com.co,Av 68 No 12-76,BOGOTA D.C.,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,BOGOTA D.C.,111611,-74.11929055,4.635788205,
CHÍA,(1)-8633779,chiapo.centrob@4-72.com.co,CALLE 12 Nº 10-58,CUNDINAMARCA,De 8:00 a.m. a 06:00 p.m. Jornado continua,CUNDINAMARCA,,0,0,
FACATATIVÁ,(1)-8900752,facatativa.centrob@4-72.com.co,CARRERA 2 Nº 7-57,CUNDINAMARCA,De 8:00 a.m. a 1 p.m. y de 2 p.m. a 6 p.m.,CUNDINAMARCA,253051,-74.35621976,4.810851854,
MOSQUERA,(8)-8278006,mosquera.centrob@4-72.com.co,CALLE 5 N°  2   73,CUNDINAMARCA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,CUNDINAMARCA,250040,-74.1991471,4.696948325,
MADRID,(8)-8252430,pvmadrid.centrob@4-72.com.co,CALLE 7 # 5-41,CUNDINAMARCA,De 8:00 a.m. a 1 p.m. y de 2 p.m. a 6 p.m.,CUNDINAMARCA,250030,0,0,
SIBERIA,(1)-8415264,siberia.centrob@4-72.com.co,"AUTop. Medellin kilometro 3.5 via Siberia
Terminal Terrestre de Carga Local A11 Etapa 1",CUNDINAMARCA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a  5 p.m.,CUNDINAMARCA,250010,0,0,
SOACHA,(1)-7810679,admsoacha.bogota@4-72.com.co,CRA 6 N°  13A  18,CUNDINAMARCA,De 8:00 a.m. a 06:00 p.m. Jornado continua,CUNDINAMARCA,250051,-74.21818789,4.580788336,
CHIQUINQUIRÁ,(8)-7262227,chiquinquira.centrob@4-72.com.co,CRA. 9 Nº 16-13,BOYACA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,BOYACA,154640,-73.81683124,5.616529535,
DUITAMA,(8)-7603485,duitama.centrob@4-72.com.co,CLL 16 # 14 - 52,BOYACA,De 8:00 a.m. a 06:00 p.m. Jornado continua,BOYACA,150461,-73.03406566,5.828640922,
FUSAGASUGÁ,(1)-8719613,fusagasuga.centrob@4-72.com.co,CLL 9  Nº  7-40 CENTRO,CUNDINAMARCA,De 8:00 a.m. a 1 p.m. y de 2 p.m. a 6 p.m.,CUNDINAMARCA,252211,-74.3625507,4.34178308,
GRANADA,(8)-6580007,granada.centrob@4-72.com.co,CLL 15 Nº 14-63,META,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,META,504001,-73.70595124,3.540408846,
LETICIA,,centrodeoperacionesleticia472@gmail.com,carrera 6 No. 8-20,AMAZONAS,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,AMAZONAS,910001,-69.94060967,-4.21569506,
PAIPA,(8)-7850617,paipa.centrob@4-72.com.co,carrera 22 N° 25-30,BOYACA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,BOYACA,150440,-73.11742282,5.781468648,
PUERTO CARREÑO,(8)-5654489,pcr472@gmail.com,CRA 5 N° 18  - 69 LOCAL 1,VICHADA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,VICHADA,990001,0,0,
INÍRIDA,(8)-5656344,puertoinirida.centrob@4-72.com.co,CALLE 18 #9-51,GUAINIA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,GUAINIA,940001,-67.9243267,3.865279239,
PUERTO LEGUÍZAMO,(8)-5634258,ptoleguizamo.centrob@4-72.com.co,CARRERA 36 ESQUINA PARROQUIA CENTRO,PUTUMAYO,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,PUTUMAYO,864001,0,0,
SAN ANDRÉS,(8)-5125440,sanandresisla.centrob@4-72.com.co,AV FRANCISCO NEW BALL 1 P.C. COMERCIO CENTRO LOCAL 105,ANCHIPIELAGO DE SAN ANDRES,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,ANCHIPIELAGO DE SAN ANDRES,880001,0,0,
SOGAMOSO,(8)-7750273,sogamoso.centrob@4-72.com.co,CALLE 14 # 10 - 43  LOCAL 106,BOYACA,De 8:00 a.m. a 06:00 p.m. Jornado continua,BOYACA,152210,-72.92651082,5.716831783,
TUNJA,(8)-7450639,tunjapv.centrob@4-72.com.co,CRA 9 Nº19-86 plaza bolivar,BOYACA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,BOYACA,150001,-73.36060251,5.532498393,
TUNJA,"(8)-7438771
(1)-7432389",pvtunja.asis@4-72.com.co,CRA 6 N°  64-03,BOYACA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,BOYACA,150003,-73.34388263,5.568962234,
VILLA DE SAN DIEGO DE UBATÉ,(1)-8892065,ubate.centrob@4-72.com.co,CRA 7  CALLE 8 - 12 ESQUINA EDIFICIO TELECOM,CUNDINAMARCA,De 8:00 a.m. a 1 p.m. y de 2 p.m. a 6 p.m.,CUNDINAMARCA,250430,-73.81435255,5.3080752,
VILLAVICENCIO,(8)-6622902,villavicenciopv.centrob@4-72.com.co,CALLE 39 No32-02 CENTRO,META,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,META,500001,-73.63848719,4.152127688,
YOPAL,(8)-6358472,yopalpv.centrob@4-72.com.co,Calle 10 n° 20 – 09,CASANARE,De 8:00 a.m. a 1 p.m. y de 2 p.m. a 6 p.m.,CASANARE,850001,-72.40068154,5.346319371,
ZIPAQUIRÁ,(1)-8522783,zipaquira.centrob@4-72.com.co,CRA 10 Nº 2-42,CUNDINAMARCA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,CUNDINAMARCA,250252,-74.00318569,5.020824369,
AGUADAS,(6)8514297,aguadas.ejecafetero@4-72.com.co,CL 6 6-09,CALDAS,De 8 a.m. a 12:30 m. y de 1:30 p.m. a 6 p.m.,CALDAS,172020,-75.45667739,5.6138855,
ANSERMA,(6)8531035,anserma.ejecafetero@4-72.com.co,KR 4  12 - 10 CENTRO,CALDAS,De 8 a.m. a 12:30 m. y de 1:30 p.m. a 6 p.m.,CALDAS,177080,-75.78656084,5.232915256,
ARMENIA,(6)7440218,armenia.ejecafetero@4-72.com.co,CRA 15  22 -38,QUINDIO,De 8 a.m.  a 6:00 p.m. Jornada continua,QUINDIO,630004,-75.67554665,4.532266205,
CALARCA,(6)7421067,calarca.ejecafetero@4-72.com.co,KR 24 40 - 28 Local 2,QUINDIO,De 8 a.m. a 12:30 m. y de 1:30 p.m. a 6 p.m.,QUINDIO,632001,-75.64002164,4.53086951,
CARTAGO,(2)2122460,cartago.ejecafetero@4-72.com.co,CRA 4 12- 48,VALLE DEL CAUCA,De 8 a.m.  a 6:00 p.m. Jornada continua,VALLE DEL CAUCA,762021,-75.91392294,4.750328122,
CHINCHINA,(6)8506022,chinchina.ejecafetero@4-72.com.co,KR 8 12 - 50,CALDAS,De 8 a.m. a 12:30 m. y de 1:30 p.m. a 6 p.m.,CALDAS,176020,-75.60685238,4.983889838,
HONDA,(8)2517344,honda.ejecafetero@4-72.com.co,KR 11 CL 14 ESQUINA PALACIO MUNICIPAL,TOLIMA,De 8 a.m. a 12:30 m. y de 1:30 p.m. a 6 p.m.,TOLIMA,732040,-74.73537196,5.205817242,
LA DORADA,(6)8576205,ladorada.ejecafetero@4-72.com.co,KR 2  14 - 08 PISO 1 LOCAL BANCO BOGOTA,CALDAS,De 8 a.m. a 12:30 m. y de 2 p.m. a 6:30 p.m.,CALDAS,175031,-74.6637907,5.456448089,
LA UNION,(2)2292497,launion.ejecafetero@4-72.com.co,CL 14 13-47,VALLE DEL CAUCA,De 8 a.m. a 12:30 m. y de 1:30 p.m. a 6 p.m.,VALLE DEL CAUCA,761540,-76.10232779,4.53121656,
LA VIRGINIA,(6)3682390,lavirginia.ejecafetero@4-72.com.co,KR 8 6 - 61,RISARALDA,De 8 a.m. a 12:30 m. y de 1:30 p.m. a 6 p.m.,RISARALDA,662001,0,0,
MONTENEGRO,(6)7538049,montenegro.ejecafetero@4-72.com.co,KR 6 15-25,QUINDIO,De 8 a.m. a 12:30 m. y de 1:30 p.m. a 6 p.m.,QUINDIO,633001,-75.74953807,4.567389005,
NEIRA,(6)8587412,neira.ejecafetero@4-72.com.co,KR 9 10-40,CALDAS,De 8 a.m. a 12:30 m. y de 1:30 p.m. a 6 p.m.,CALDAS,171001,-75.52037065,5.170090469,
PENSILVANIA,(6)8555081,pensilvania.ejecafetero@4-72.com.co,KR 6 4-46,CALDAS,De 8 a.m. a 12:30 m. y de 1:30 p.m. a 6 p.m.,CALDAS,173060,-75.16067052,5.383311579,
PEREIRA,(6)3337460,pereira.ejecafetero@4-72.com.co,KR 9 18B-15,RISARALDA,De 8 a.m.  a 6:00 p.m. Jornada continua,RISARALDA,660002,-75.694385,4.812899698,
QUIMBAYA,(6)7521381,quimbaya.ejecafetero@4-72.com.co,CL 14 5-29,QUINDIO,De 8 a.m. a 12:30 m. y de 1:30 p.m. a 6 p.m.,QUINDIO,634020,-75.76219791,4.622248463,
RIOSUCIO,(6)8590656,riosucio.ejecafetero@4-72.com.co,CL 8  6 - 22,CALDAS,De 8 a.m. a 12:30 m. y de 1:30 p.m. a 6 p.m.,CALDAS,178040,-75.70371459,5.420673617,
SALAMINA,(6)8595924,salamina.ejecafetero@4-72.com.co,CL 4 7-07  LOCAL 2,CALDAS,De 8 a.m. a 12:30 m. y de 1:30 p.m. a 6 p.m.,CALDAS,172001,-75.48735741,5.408474124,
SANTA ROSA DE CABAL,(6)3645886,santarosa.ejecafetero@4-72.com.co,KR 15  13-36,RISARALDA,De 8 a.m. a 12:30 m. y de 1:30 p.m. a 6 p.m.,RISARALDA,661020,-75.62213328,4.86547753,
VILLAMARIA,(6)8770626,villamaria.ejecafetero@4-72.com.co,CLL  9  5 - 16,CALDAS,De 8 a.m. a 12:30 m. y de 1:30 p.m. a 6 p.m.,CALDAS,176001,-75.51270334,5.04498108,
PEREIRA,(6)3253623,calle21.ejecafetero@4-72.com.co,KR 9 21-33,RISARALDA,De 8 a.m. a 12:30 m. y de 1:30 p.m. a 6 p.m.,RISARALDA,660002,-75.69639269,4.813141723,
PEREIRA,(6)3367308,calle39.ejecafetero@4-72.com.co,KR 7 39-18,RISARALDA,De 8 a.m. a 12:30 m. y de 1:30 p.m. a 6 p.m.,RISARALDA,660002,-75.71121865,4.816675884,
MANIZALES,(6)8844812,centro.manizales@4-72.com.co,CLL  22 23- 57 Esquina,CALDAS,De 8 a.m.  a 6:00 p.m. Jornada continua,CALDAS,170006,-75.51760658,5.066696758,
MANIZALES,(6)8851808,cable.manizales@4-72.com.co,KR 23 60-36,CALDAS,De 8 a.m. a 12:30 m. y de 1:30 p.m. a 6 p.m.,CALDAS,170004,-75.48841326,5.060476732,
MEDELLIN,(4) 2601508,america.noroccidente@4-72.com.co,CALLE 44 No. 68 A 20,ANTIOQUIA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,ANTIOQUIA,50031,-75.58704447,6.249029285,
ANDES,(4) 8414388,andes.noroccidente@4-72.com.co,CARRERA 50 No. 50-70             Local 120,ANTIOQUIA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,ANTIOQUIA,56060,-75.87730505,5.656258926,
APARTADO,(4) 8280888,apartado.noroccidente@4-72.com.co,CALLE 98 No. 103 A 23              Brr. Ortíz,ANTIOQUIA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,ANTIOQUIA,,0,0,
MEDELLIN,(4) 3454718,belen.noroccidente@4-72.com.co,CARRERA 77 No. 28-30,ANTIOQUIA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,ANTIOQUIA,50025,-75.59695235,6.229172266,
BELLO,(4) 4572863,bello.noroccidente@4-72.com.co,CARRERA 50 No. 52-26,ANTIOQUIA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,ANTIOQUIA,51053,-75.55902661,6.336242372,
MEDELLIN,(4) 2515106,cafetero.noroccidente@4-72.com.co,CALLE 49 No. 50-21                   Edif. del Café Local 9939,ANTIOQUIA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,ANTIOQUIA,50015,-75.568625,6.248620325,
CALDAS,(4) 2780859,caldas.noroccidente@4-72.com.co,CALLE 129 SUR No. 48 51,ANTIOQUIA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,ANTIOQUIA,55440,-75.63459358,6.091631828,
MEDELLIN,(4) 2666385,elpoblado.noroccidente@4-72.com.co,CALLE 10 A No. 41 11,ANTIOQUIA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,ANTIOQUIA,50021,-75.56858032,6.210570217,
ENVIGADO,(4) 2769462,envigado.noroccidente@4-72.com.co,CALLE 38 SUR No. 43-60,ANTIOQUIA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,ANTIOQUIA,55422,-75.588235,6.170233451,
ITAGUI,(4) 2775007,itagui.noroccidente@4-72.com.co,CARRERA 50 No. 51-27                Local 9908 -9909,ANTIOQUIA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,ANTIOQUIA,55412,-75.60853557,6.172201885,
MARINILLA,(4) 5482716,marinilla.noroccidente@4-72.com.co,CALLE 32 29-56 LOCAL 106,ANTIOQUIA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,ANTIOQUIA,54020,-75.33372123,6.173958657,
MEDELLIN,(4) 2325031,palaciodejusticia.noroccidente@4-72.com.co,CARRERA 52 No. 42-73  Of. 207   Palacio de Justicia,ANTIOQUIA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,ANTIOQUIA,50015,-75.57195532,6.244065627,
MEDELLIN,(4) 6042074 EXT 4068,principal.noroccidente@4-72.com.co,CARRERA 64C No. 72-20,ANTIOQUIA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,ANTIOQUIA,50034,-75.57386643,6.270226818,
QUIBDO,(4) 6711582,quibdo.noroccidente@4-72.com.co,CARRERA 1 A # 26 a 68 Brr. San Francisco (Roma),CHOCO,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,CHOCO,,0,0,
RIONEGRO,(4) 5611103,rionegro.noroccidente@4-72.com.co,CARRERA 51 No. 51 -57                 Local 101,ANTIOQUIA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,ANTIOQUIA,54040,-75.37375603,6.154945532,
SABANETA,(4) 2889350,sabaneta.noroccidente@4-72.com.co,CALLE 70 SUR No. 46-46,ANTIOQUIA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,ANTIOQUIA,55450,-75.61665488,6.152585961,
MEDELLIN,(4) 2395703,sanignacio.noroccidente@4-72.com.co,CARRERA 44 No. 48-79,ANTIOQUIA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,ANTIOQUIA,50016,-75.56463372,6.246595639,
YARUMAL,(4) 8871748,yarumal.noroccidente@4-72.com.co,CARRERA 21 No. 20-52                  Local 204,ANTIOQUIA,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,ANTIOQUIA,52030,-75.41820388,6.962428572,
CARTAGENA,(5)6608777,matuna.norte@4-72.com.co,KR 11 32a-9 local 15,BOLIVAR,De 8:00 a.m. a 06:00 p.m. Jornado continua,BOLIVAR,130001,-75.54424275,10.42487821,
CARTAGENA,(5)6714502,lamoneda.norte@4-72.com.co,CALLE 31A CARRERA 69B -65 Ctro Ccial SANTA LUCIA LOCAL 2,BOLIVAR,De 8:00 a.m. a 1 p.m. y de 2 p.m. a 6 p.m.,BOLIVAR,,0,0,
CARTAGENA,(5)6592009,pvelbosque.norte@4-72.com.co,DIAG.21 #  45 - 85  EL BOSQUE,BOLIVAR,De 8:00 a.m. a 06:00 p.m. Jornado continua,BOLIVAR,130001,-75.52155884,10.4004772,
RIOHACHA,(5)7273853,riohacha.norte@4-72.com.co,CALLE 2 #  6-56,GUAJIRA,De 8:00 a.m. a 1 p.m. y de 2 p.m. a 6 p.m.,GUAJIRA,440001,-72.90886253,11.55204433,
MONTERIA,(4)7856975,pv.monteria@4-72.com.co,CRA 17  # 24 - 09,CORDOBA,De 8:00 a.m. a 1 p.m. y de 2 p.m. a 6 p.m.,CORDOBA,230003,-75.87607247,8.745899416,
MAGANGUE,(5)6878154,pv.magangue@4-72.com.co,CALLE la elogia TV 4 14-07,BOLIVAR,De 8:00 a.m. a 1 p.m. y de 2 p.m. a 6 p.m.,BOLIVAR,132511,0,0,
CIENAGA,(5)4240895,cienaga.norte@4-72.com.co,CALLE 16 # 10 - 105,MAGDALENA,De 8:00 a.m. a 1 p.m. y de 2 p.m. a 6 p.m.,MAGDALENA,478001,-74.25143618,11.00725481,
BARRANQUILLA,(5)3406359,zonauno.norte@4-72.com.co,CALLE 40 44-109 loc 1,ATLANTICO,De 8:00 a.m. a 06:00 p.m. Jornado continua,ATLANTICO,80003,-74.78137853,10.9841135,
BARRANQUILLA,(5)3461042,union.barranquilla@4-72.com.co,CALLE 30 13C-07,ATLANTICO,De 8:00 a.m. a 1 p.m. y de 2 p.m. a 6 p.m.,ATLANTICO,80006,-74.78619069,10.9515283,
BARRANQUILLA,(5)3450636,estadio.norte@4-72.com.co,KR 52 72-114 LOCAL 26 C.C. PLAZA 52,ATLANTICO,De 8:00 a.m. a 06:00 p.m. Jornado continua,ATLANTICO,80020,-74.80396605,10.9988691,
BARRANQUILLA,(5)3200338,pvcentro.barranquilla@4-72.com.co,CRA 38 # 43 - 85,ATLANTICO,De 8:00 a.m. a 1 p.m. y de 2 p.m. a 6 p.m.,ATLANTICO,80003,-74.78591468,10.97939742,
BARRANQUILLA,(5)3562235,pvveintedejulio.norte@4-72.com.co,CALLE 72 No 41-68 EDIFICIO YOVAL,ATLANTICO,De 8:00 a.m. a 1 p.m. y de 2 p.m. a 6 p.m.,ATLANTICO,80002,-74.80840546,10.98939437,
BARRANQUILLA,(5)3606595,pvprado.barranquilla@4-72.com.co,CALLE 76 N 49 C 31 loc 1,ATLANTICO,De 8:00 a.m. a 06:00 p.m. Jornado continua,ATLANTICO,80020,-74.80813016,11.00042676,
BARRANQUILLA,(5)3735411,campina.norte@4-72.com.co,CALLE 84 45-31 Local 3,ATLANTICO,De 8:00 a.m. a 06:00 p.m. Jornado continua,ATLANTICO,80020,-74.81892087,11.00155974,
SANTA MARTA,(5)4306762,pv.santamarta@4-72.com.co,CALLE 22  #  2 - 37  local 7,MAGDALENA,De 8:00 a.m. a 06:00 p.m. Jornado continua,MAGDALENA,470004,-74.21433175,11.24116414,
EL BANCO,(5)4291011,banco.norte@4-72.com.co,CALLE  7 # 6 - 02,MAGDALENA,De 8:00 a.m. a 1 p.m. y de 2 p.m. a 6 p.m.,MAGDALENA,473040,0,0,
MAICAO,(5)7251609,maicao.norte@4-72.com.co,KR 10 # 15 - 59 LOCAL 5,RIOHACHA,De 8:00 a.m. a 1 p.m. y de 2 p.m. a 6 p.m.,RIOHACHA,442001,0,0,
SINCELEJO,(5)2825342,pv.sincelejo@4-72.com.co,calle 23 # 17 - 24,SUCRE,De 8:00 a.m. a 1 p.m. y de 2 p.m. a 6 p.m.,SUCRE,700003,-75.39652938,9.301039456,
ARACATACA,NO TIENE,aracataca.norte@4-72.com.co,CALLE 9 # 5 - 30  CASA DEL TELEGRAFISTA,MAGDALENA,De 8:00 a.m. a 1 p.m. y de 2 p.m. a 6 p.m.,MAGDALENA,472001,-74.19181786,10.59463922,
BUENAVENTURA,(2)2403660,buenaventura.occidente@4-72.com.co,CARRERA 5 A #  1 -13,VALLE DEL CAUCA,De 8:00 a.m. a 1 p.m. y de 2 p.m. a 6 p.m.,VALLE DEL CAUCA,764501,-77.07672529,3.886774418,
BUGA,(2)2276528,buga.occidente@4-72.com.co,CALLE 5 14 – 50,VALLE DEL CAUCA,De 8:00 a.m. a 1 p.m. y de 2 p.m. a 6 p.m.,VALLE DEL CAUCA,763042,-76.30252588,3.898787448,
EL CERRITO,(2)2565892,elcerrito.occidente@4-72.com.co,CALLE  5  # 11-26-CENTRO,VALLE DEL CAUCA,De 8:00 a.m. a 1 p.m. y de 2 p.m. a 6 p.m.,VALLE DEL CAUCA,763520,0,0,
